ioc,type,desc
http://104[.]168[.]171[.]198[:]443,url,url
84e484da8e6d4e14178a371ab2958f007bf2545f,sha1,Mod.Seg.ST-1#########0############4.1###########6###############8.1#############7#################1.1###################9#################8-BR.exe
a6470d6aacd55e76e619960cb8bc44e5,md5,Mod.Seg.ST-1#########0############4.1###########6###############8.1#############7#################1.1###################9#################8-BR.exe
d3d5fcfb79ff09e6d3bbaa601bdc75431ca0fcff6cdf9f7c8f55adc6e2b8279e,sha256,Mod.Seg.ST-1#########0############4.1###########6###############8.1#############7#################1.1###################9#################8-BR.exe
